Sentiment Entity	Freq	Synonym	leave/ remain	Politician
 Rob Wainwright	27	 Rob Wainwright		False
 Sir Bob Geldof	27	Bob Geldorf		
 Standard Chartered	27	 Standard Chartered		
 sterling	27	Pound		
 U.S. Federal Reserve Bank	27	Fed		
 Unilever	27	 Unilever		
 writer	27			
 BERLIN	26	Berlin		
 co-head	26			
 Cornwall	26	Cornwall		
 England Swiss National Bank	26			
 Esther George	26	 Esther George		False
 France.	26	France		
 Germany France	26			
 Hargreaves Lansdown	26	Hargreaves Lansdown		
 Italy.	26	Italy		
 Jasper Lawler	26	 Jasper Lawler		False
 Lord Lawson	26	Nigel Lawson	leave	True
 Prime Minister.	26			
 Reserve Bank of India	26	 Reserve Bank of India		
 Shri Navaratnam	26	 Shri Navaratnam		False
 Slovakia	26	Slovakia		
 Tim Roache	26	 Tim Roache	remain	False
 United Arab Emirates	26	United Arab Emirates		
 Wales.	26	Wales		
 ASX	25	 ASX		
 BK Asset Management	25			
 Bloomberg News	25	Bloomberg News		
 Board Governor Daniel Tarullo	25	Daniel Tarullo		False
 Chief Economist	25			
 CMC Markets	25	 CMC Markets		
 German Bunds	25	Germany		
 Matt Brief	25	 Matt Brief		False
 Morgan Stanley BlackRock	25			
 North America	25	North America		
 North East	25			
 Orlando Florida	25	Orlando		
 Plymouth	25	Plymouth		
 Sir John	25	John Major	remain	True
 United Nations	25	UN		
 Winston Churchill	25	Winston Churchill		
 World Trade Organisation	25	WTO		
 Atlantic	24	Atlantic		
 Brexit. weiterlesen	24	Brexit		
 Bristol	24	Bristol		
 Chief Executive	24			
 co-founder	24			
 Conservative government	24			
 Don Sebastian	24			
 Georgia	24	 Georgia		
 Germany.	24	Germany		
 Governor Raghuram Rajan	24	Raghuram Rajan		
 Haruhiko Kuroda	24	 Haruhiko Kuroda		False
 Hull	24	 Hull		
 Joe Biden	24	 Joe Biden		
 Nicky Morgan	24	 Nicky Morgan	remain	True
 Northern Ireland.	24	Northern Ireland		
 Paddy Ashdown	24	 Paddy Ashdown		False
 Political Editor	24			
 SNB	24	Swiss National Bank		
 Synchrony Financial	24	 Synchrony Financial		
 Tata	24	Tata Group		
 The European Union	24	European Union		
 UK Government	24	British government		
 underweight	24			
 USA	24	USA		
 Abenomics	23	Shinzo Abe		
 Archbishop of Canterbury	23	Justin Welby		
 Athens	23	Athens		
 David Cameron.	23	David Cameron		
