Var1	Freq	Synonym	Remain/leave	Politician
 @Europarl_EN	42	 European Parliament		
 @KayBurley	42	Kay Burley		
 @m_4rk0	42			
 @Oscarb1933	42			
 @TheTimes	42	The Times		
 @Ukip	42	UKIP		
 @ukvoteremain	42		remain	
 @WhyToVoteGreen	42			
11%	42			
 CBI	42	 CBI		
 ECB	42	 European Central Bank		
 ICM	42	 ICM		
 Michael	42			
 Mr Corbyn	42	Jeremy Corbyn		
 Muhammad Ali	42	 Muhammad Ali		
 Pakistan	42	 Pakistan		
 @AFP	41	AFP		
 @BBCBreaking	41	BBC		
 @carltonreid	41			
 @NHSEngland	41	NHS		
 @rtenews	41	RT		
 @SunPolitics	41	Sun		
 @YvetteCooperMP	41	Yvette Cooper		True
 Dr Sarah Wollaston	41	Sarah Wollaston		True
 EU Commission	41	 EU Commission		
 Ukraine	41	 Ukraine		
 World Government	41			
 @dean_gtfc	40			
 @minhazmerchant	40	Minhaz Merchant		
 @MockLabour	40			
 @philtherapy	40		remain	
 @PlebLand	40		leave	
 @PoliticsToday_	40			
 @yahoo.co.uk	40	Yahoo		
 Birmingham	40	 Birmingham		
 Brexit VoteLeave	40	Leave Campaign		
 Carney	40	Mark Carney		
 Clinton	40	Hillary Clinton		
 Joe Cox	40	 Joe Cox		
 Kinnock	40	Neil Kinnock		True
 Newcastle	40	 Newcastle		
 Nigel farage	40	Nigel Farage		
 UCL	40	University College London		
 Vladimir Putin	40	 Vladimir Putin		
 Yorkshire	40	 Yorkshire		
 @sandersn85	39			
 @WorthingUKIP	39	UKIP		
 James Dyson	39	 James Dyson		
 RemainCameron	39	David Cameron		
 Sir Lynton Crosby	39	Lynton Crosby		
 Tusk	39	Donald Tusk		
 Yvette Cooper	39	 Yvette Cooper		True
 @chessmartinez	38			
 @david_cameron	38	David Cameron		
 @Labour4Go	38			
 @nickeardleybbc	38	Nick Eardley		
 @RogerHelmerMEP	38	Roger Helmer		True
 @thetemplar5	38			
 @Vote_Leave	38	Leave Campaign		
 3 months	38			
 bbc	38	BBC		
 Berlin	38	 Berlin		
 Breitbart	38	Breitbart		
 Brexit Voteleave	38	Leave Campaign		
 Chancellor George Osborne	38	George Osborne		
 Co	38			
 ECHR	38	European Court		
 Eddie Izzard	38	 Eddie Izzard		
 Israel	38	 Israel		
 NigelFarage	38	Nigel Farage		
 patriots	38	Patriots		
 Romania	38	 Romania		
 Sadiq Khan	38	 Sadiq Khan		True
 six months	38			
 three months	38			
 @Borisjohnson	37	Boris Johnson		
 @raider_truth	37			
 @realdealdanny	37			
 @redbrasco	37			
 @spikedonline	37	Spiked		
 @theSNP	37	SNP		
 @yvonneridley	37	Yvonne Ridley		
 25 years	37			
 4Ft	37			
 6 years	37			
 BREXIT Europe	37	Brexit		
 japan	37	Japan		
 John	37			
 Kent	37			
 nigel farage	37	Nigel Farage		
 turbobloke	37			
 two days	37			
 Zod	37			
 @beleaveuk	36		leave	
 @CoaghUKIP	36	Alan Day	leave	
 @DonaldTrumpWall	36			
 @markets	36	Bloomberg		
 @NaomiOhReally	36	Naomi O'Leary		
 @Patriotic_Brit	36		leave	
 @PoliticsSense	36		leave	
 @realkingrobbo	36			
 @swiveleyed24	36		leave	
 @telegraphnews	36	The Telegraph		
 @toadmeister	36	Toby Young		
 12 days	36			
 12 months	36			
13%	36			
